0 0 0.034
0 5 0.034
0 10 0.034
0 15 0.034
0 20 0.034
0 25 0.034
0 30 0.034
0 35 0.034
0 40 0.034
0 45 0.034
0 50 0.034
0 55 0.034
0 60 0.034
0 65 0.034
0 70 0.034
0 75 0.034
0 80 0.034
0 85 0.034
0 90 0.034
0 95 0.034
0 100 0.034
0 105 0.034
0 110 0.034
0 115 0.034
0 120 0.034
0 125 0.034
0 130 0.034
0 135 0.034
0 140 0.034
0 145 0.034
0 150 0.034
0 155 0.034
0 160 0.034
0 165 0.034
0 170 0.034
0 175 0.034
0 180 0.034
0 185 0.034
0 190 0.034
0 195 0.034
0 200 0.034
0 205 0.034
0 210 0.034
0 215 0.034
0 220 0.034
0 225 0.034
0 230 0.034
0 235 0.034
0 240 0.034
0 245 0.034
0 250 0.034
0 255 0.034
0 260 0.034
0 265 0.034
0 270 0.034
0 275 0.034
0 280 0.034
0 285 0.034
0 290 0.034
0 295 0.034
0 300 0.034
0 305 0.034
0 310 0.034
0 315 0.034
0 320 0.034
0 325 0.034
0 330 0.034
0 335 0.034
0 340 0.034
0 345 0.034
0 350 0.034
0 355 0.034
5 0 0.041
5 5 0.042
5 10 0.034
5 15 0.035
5 20 0.040
5 25 0.039
5 30 0.036
5 35 0.035
5 40 0.034
5 45 0.033
5 50 0.033
5 55 0.031
5 60 0.031
5 65 0.031
5 70 0.035
5 75 0.034
5 80 0.035
5 85 0.035
5 90 0.035
5 95 0.035
5 100 0.035
5 105 0.034
5 110 0.035
5 115 0.031
5 120 0.031
5 125 0.031
5 130 0.033
5 135 0.033
5 140 0.034
5 145 0.035
5 150 0.036
5 155 0.039
5 160 0.040
5 165 0.035
5 170 0.034
5 175 0.042
5 180 0.041
5 185 0.042
5 190 0.034
5 195 0.035
5 200 0.040
5 205 0.039
5 210 0.036
5 215 0.035
5 220 0.034
5 225 0.033
5 230 0.033
5 235 0.031
5 240 0.031
5 245 0.031
5 250 0.035
5 255 0.034
5 260 0.035
5 265 0.035
5 270 0.035
5 275 0.035
5 280 0.035
